"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,6037,9992813,9606925,"California","CA",-0.038616553717156554,"Los Angeles County","Los Angeles County","california/los-angeles-county",4060,2366.237684729064,1,2366.237684729064,4060
2024,6073,3295298,3262770,"California","CA",-0.009871034425414593,"San Diego County","San Diego County","california/san-diego-county",4210,775.0047505938243,2,775.0047505938243,4210
2024,6059,3185734,3121138,"California","CA",-0.02027664582165367,"Orange County","Orange County","california/orange-county",793,3935.861286254729,3,3935.861286254729,793
2024,6065,2422993,2510643,"California","CA",0.03617426876594365,"Riverside County","Riverside County","california/riverside-county",7209,348.2650853100291,4,348.2650853100291,7209
2024,6071,2183391,2196314,"California","CA",0.005918774969760232,"San Bernardino County","San Bernardino County","california/san-bernardino-county",20068,109.44359178792106,5,109.44359178792106,20068
2024,6085,1931168,1876849,"California","CA",-0.02812753732456208,"Santa Clara County","Santa Clara County","california/santa-clara-county",1291,1453.7947327652982,6,1453.7947327652982,1291
2024,6001,1680466,1616117,"California","CA",-0.03829235462068259,"Alameda County","Alameda County","california/alameda-county",737,2192.831750339213,7,2192.831750339213,737
2024,6067,1586566,1584196,"California","CA",-0.0014937922532060055,"Sacramento County","Sacramento County","california/sacramento-county",965,1641.6538860103626,8,1641.6538860103626,965
2024,6013,1166069,1153031,"California","CA",-0.011181156518182078,"Contra Costa County","Contra Costa County","california/contra-costa-county",717,1608.1324965132496,9,1608.1324965132496,717
2024,6019,1009552,1018965,"California","CA",0.009323937746644084,"Fresno County","Fresno County","california/fresno-county",5958,171.02467270896273,10,171.02467270896273,5958
2024,6029,905910,910889,"California","CA",0.005496130962236778,"Kern County","Kern County","california/kern-county",8135,111.97160417947141,11,111.97160417947141,8135
2024,6111,843371,826309,"California","CA",-0.02023071696797729,"Ventura County","Ventura County","california/ventura-county",1841,448.8370450841934,12,448.8370450841934,1841
2024,6075,870518,810202,"California","CA",-0.0692874817062944,"San Francisco County","San Francisco County","california/san-francisco-county",47,17238.340425531915,13,17238.340425531915,47
2024,6077,780617,807637,"California","CA",0.03461364536001654,"San Joaquin County","San Joaquin County","california/san-joaquin-county",1392,580.1989942528736,14,580.1989942528736,1392
2024,6081,762479,723777,"California","CA",-0.050758119240005284,"San Mateo County","San Mateo County","california/san-mateo-county",449,1611.9755011135858,15,1611.9755011135858,449
2024,6099,553257,551634,"California","CA",-0.0029335372168811658,"Stanislaus County","Stanislaus County","california/stanislaus-county",1496,368.73930481283423,16,368.73930481283423,1496
2024,6107,473914,481052,"California","CA",0.01506180446241312,"Tulare County","Tulare County","california/tulare-county",4824,99.72056384742952,17,99.72056384742952,4824
2024,6097,488282,480955,"California","CA",-0.015005672951286297,"Sonoma County","Sonoma County","california/sonoma-county",1575,305.36825396825395,18,305.36825396825395,1575
2024,6095,452723,449551,"California","CA",-0.00700649182833657,"Solano County","Solano County","california/solano-county",822,546.8990267639903,19,546.8990267639903,822
2024,6083,448424,438599,"California","CA",-0.02191006725777389,"Santa Barbara County","Santa Barbara County","california/santa-barbara-county",2734,160.4239209948793,20,160.4239209948793,2734
2024,6061,405927,429048,"California","CA",0.05695851717180678,"Placer County","Placer County","california/placer-county",1407,304.9381663113006,21,304.9381663113006,1407
2024,6053,438322,428562,"California","CA",-0.022266735413691285,"Monterey County","Monterey County","california/monterey-county",3282,130.57952468007312,22,130.57952468007312,3282
2024,6047,281830,293630,"California","CA",0.041869211936273576,"Merced County","Merced County","california/merced-county",1938,151.51186790505676,23,151.51186790505676,1938
2024,6079,281884,281232,"California","CA",-0.002313008187765142,"San Luis Obispo County","San Luis Obispo County","california/san-luis-obispo-county",3301,85.19600121175401,24,85.19600121175401,3301
2024,6087,270474,258854,"California","CA",-0.042961615534210296,"Santa Cruz County","Santa Cruz County","california/santa-cruz-county",445,581.6943820224719,25,581.6943820224719,445
